ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment	comparison
REACTOME_ACTIVATION_OF_THE_MRNA_UPON_BINDING_OF_THE_CAP_BINDING_COMPLEX_AND_EIFS_AND_SUBSEQUENT_BINDING_TO_43S	REACTOME_ACTIVATION_OF_THE_MRNA_UPON_BINDING_OF_THE_CAP_BINDING_COMPLEX_AND_EIFS_AND_SUBSEQUENT_BINDING_TO_43S	44	0.8772697937708013	5.216577028027426	1e-10	1.9483870967741938e-9	7.707979626485568e-10	247	tags=80%, list=4%, signal=77%	RPS3A/RPS4X/RPS6/RPS11/RPS18/RPS3/RPS8/RPSA/RPS24/RPS23/RPS27/RPS20/RPS14/RPS27A/RPS12/RPS7/RPS17/RPS10/RPS15A/RPS19/RPS9/RPS5/RPS25/RPS16/RPS13/EIF4A2/RPS28/EIF3L/RPS26/RPS29/EIF3E/EIF4G1/RPS21/FAU/EIF3H	cluster_2_vs_rest
REACTOME_HOST_INTERACTIONS_OF_HIV_FACTORS	REACTOME_HOST_INTERACTIONS_OF_HIV_FACTORS	55	0.6693529740076456	4.3357552474815675	1e-10	1.9483870967741938e-9	7.707979626485568e-10	1474	tags=85%, list=25%, signal=64%	PPIA/RPS27A/UBC/UBB/NPM1/UBA52/SKP1/RAC1/RAN/XPO1/RANBP2/HMGA1/PSIP1/PSMB4/AP1B1/POM121/PSMD4/PSMA7/POM121C/AP2A1/PSMC5/PSMA6/PSMB1/BANF1/NUP214/PSME1/PSMC3/PSMB7/PSMC1/ELOB/PSMA1/PSMA4/NUP188/PSMA2/RANGAP1/PSMD13/PSMB3/SEC13/PSMC2/PSMD7/AP1S2/PSMB6/PSME2/PSMC6/PSMD14/NUP155/PSMD6	cluster_2_vs_rest
REACTOME_CYTOPROTECTION_BY_HMOX1	REACTOME_CYTOPROTECTION_BY_HMOX1	61	0.6420947875321139	4.117789070665422	1e-10	1.9483870967741938e-9	7.707979626485568e-10	1345	tags=77%, list=23%, signal=60%	MT-CO1/MT-CO3/MT-CO2/RPS27A/UBC/UBB/UBA52/TXNIP/NCOR2/SKP1/COX4I1/NCOR1/STAT3/COX7C/PSMB4/COX6A1/NDUFA4/CYCS/CSNK2B/COX6B1/PSMD4/PSMA7/PSMC5/PSMA6/PSMB1/SIN3A/COX6C/NFE2L2/PSME1/PSMC3/PSMB7/PSMC1/PSMA1/PSMA4/PSMA2/PSMD13/PSMB3/SIN3B/COX7A2L/PSMC2/BACH1/COX7B/PSMD7/CUL1/PSMB6/PSME2/PSMC6	cluster_2_vs_rest
REACTOME_MAPK6_MAPK4_SIGNALING	REACTOME_MAPK6_MAPK4_SIGNALING	44	0.6599473021900897	3.924295536856178	1e-10	1.9483870967741938e-9	7.707979626485568e-10	1474	tags=84%, list=25%, signal=63%	RPS27A/UBC/UBB/UBA52/RAC1/CDC42/SEPTIN7/XPO1/HSPB1/DNAJB1/TNRC6B/PSMB4/AGO2/PSMD4/PSMA7/PSMC5/PSMA6/PSMB1/PSME1/PSMC3/PSMB7/PRKACA/PSMC1/PSMA1/PSMA4/PSMA2/PSMD13/PSMB3/PSMC2/PSMD7/NCOA3/PSMB6/PSME2/PSMC6/PSMD14/PAK1/PSMD6	cluster_2_vs_rest
REACTOME_SIGNALING_BY_NOTCH4	REACTOME_SIGNALING_BY_NOTCH4	43	0.6521298208985538	3.8941227865831993	1e-10	1.9483870967741938e-9	7.707979626485568e-10	1405	tags=81%, list=24%, signal=62%	RPS27A/UBC/UBB/YWHAZ/UBA52/SKP1/EP300/NOTCH1/PSMB4/RBPJ/AKT1/ADAM10/PSMD4/PSMA7/PSMC5/PSMA6/PSMB1/PSME1/PSMC3/PSMB7/PSMC1/PSMA1/PSMA4/PSMA2/PSMD13/PSMB3/PSMC2/PSMD7/CUL1/MAML1/PSMB6/PSME2/PSMC6/SNW1/PSMD14	cluster_2_vs_rest
REACTOME_REGULATION_OF_HMOX1_EXPRESSION_AND_ACTIVITY	REACTOME_REGULATION_OF_HMOX1_EXPRESSION_AND_ACTIVITY	36	0.6816950659234602	3.8231984031567285	1e-10	1.9483870967741938e-9	7.707979626485568e-10	1474	tags=86%, list=25%, signal=65%	RPS27A/UBC/UBB/UBA52/SKP1/PSMB4/CSNK2B/PSMD4/PSMA7/PSMC5/PSMA6/PSMB1/NFE2L2/PSME1/PSMC3/PSMB7/PSMC1/PSMA1/PSMA4/PSMA2/PSMD13/PSMB3/PSMC2/BACH1/PSMD7/CUL1/PSMB6/PSME2/PSMC6/PSMD14/PSMD6	cluster_2_vs_rest
REACTOME_REGULATION_OF_PTEN_STABILITY_AND_ACTIVITY	REACTOME_REGULATION_OF_PTEN_STABILITY_AND_ACTIVITY	36	0.6808791768049116	3.8186225948061687	1e-10	1.9483870967741938e-9	7.707979626485568e-10	1474	tags=86%, list=25%, signal=65%	RPS27A/UBC/UBB/UBA52/PSMB4/AKT1/TNKS/CSNK2B/AKT2/PSMD4/PSMA7/PSMC5/PSMA6/PSMB1/MKRN1/PSME1/PSMC3/PSMB7/PSMC1/PSMA1/PSMA4/PSMA2/PSMD13/PSMB3/PSMC2/PSMD7/PSMB6/PSME2/PSMC6/PSMD14/PSMD6	cluster_2_vs_rest
REACTOME_SIGNALING_BY_NOTCH	REACTOME_SIGNALING_BY_NOTCH	71	0.5252515313843145	3.8160064516697023	1e-10	1.9483870967741938e-9	7.707979626485568e-10	1364	tags=72%, list=23%, signal=56%	RPS27A/UBC/UBB/YWHAZ/H3-3A/UBA52/ATP2A2/NCOR2/SKP1/EP300/NOTCH1/NCOR1/H2AZ1/TNRC6B/RAB6A/MDK/PSMB4/EGFR/PLXND1/RBPJ/AGO2/AKT1/ADAM10/PSMD4/RUNX1/PSMA7/PSMC5/PSMA6/PSMB1/PSME1/PSMC3/PSMB7/PSMC1/PSMA1/FURIN/PSMA4/PSMA2/PSMD13/PSMB3/PSMC2/PSMD7/TFDP1/CUL1/H2BC12/MAML1/PSMB6/TLE1/PSME2/PSMC6/H2AX/SNW1	cluster_2_vs_rest
REACTOME_AUF1_HNRNP_D0_BINDS_AND_DESTABILIZES_MRNA	REACTOME_AUF1_HNRNP_D0_BINDS_AND_DESTABILIZES_MRNA	35	0.7030046721556672	3.80878731478927	1e-10	1.9483870967741938e-9	7.707979626485568e-10	1474	tags=89%, list=25%, signal=67%	HSPA8/RPS27A/UBC/UBB/UBA52/HSPA1A/EIF4G1/HNRNPD/HSPB1/PSMB4/PSMD4/PSMA7/PSMC5/PSMA6/PSMB1/PSME1/PSMC3/PSMB7/PSMC1/PSMA1/PSMA4/PSMA2/PSMD13/PSMB3/PSMC2/PSMD7/PSMB6/PSME2/PSMC6/PSMD14/PSMD6	cluster_2_vs_rest
REACTOME_DEGRADATION_OF_GLI1_BY_THE_PROTEASOME	REACTOME_DEGRADATION_OF_GLI1_BY_THE_PROTEASOME	34	0.6777511422769583	3.7766430844628074	1e-10	1.9483870967741938e-9	7.707979626485568e-10	1609	tags=91%, list=28%, signal=66%	RPS27A/UBC/UBB/UBA52/SKP1/PSMB4/PSMD4/PSMA7/PSMC5/PSMA6/PSMB1/PSME1/PSMC3/PSMB7/PRKACA/PSMC1/PSMA1/PSMA4/PSMA2/PSMD13/PSMB3/PSMC2/PSMD7/CUL1/PSMB6/PSME2/PSMC6/PSMD14/PSMD6/SEM1/PSMA5	cluster_2_vs_rest
REACTOME_DEGRADATION_OF_BETA_CATENIN_BY_THE_DESTRUCTION_COMPLEX	REACTOME_DEGRADATION_OF_BETA_CATENIN_BY_THE_DESTRUCTION_COMPLEX	41	0.6393931229041815	3.719015131126592	1e-10	1.9483870967741938e-9	7.707979626485568e-10	1474	tags=83%, list=25%, signal=62%	RPS27A/UBC/UBB/UBA52/SKP1/PSMB4/CTBP1/PPP2CB/PSMD4/PSMA7/PSMC5/PSMA6/PSMB1/PSME1/PSMC3/PSMB7/PSMC1/PSMA1/PSMA4/PSMA2/PSMD13/PSMB3/LEF1/PSMC2/PSMD7/CTBP2/CUL1/PSMB6/TLE1/PSME2/PSMC6/ZRANB1/PSMD14/PSMD6	cluster_2_vs_rest
REACTOME_TRANSCRIPTIONAL_REGULATION_BY_RUNX3	REACTOME_TRANSCRIPTIONAL_REGULATION_BY_RUNX3	43	0.6218250780342396	3.713161287894385	1e-10	1.9483870967741938e-9	7.707979626485568e-10	1405	tags=84%, list=24%, signal=64%	RPS27A/UBC/UBB/UBA52/EP300/NOTCH1/PSMB4/ZFHX3/WWTR1/RBPJ/PSMD4/RUNX1/PSMA7/PSMC5/PSMA6/PSMB1/PSME1/PSMC3/TGFB1/PSMB7/PSMC1/PSMA1/YAP1/PSMA4/PSMA2/PSMD13/PSMB3/LEF1/PSMC2/PSMD7/MAML1/PSMB6/PSME2/PSMC6/SNW1/PSMD14	cluster_2_vs_rest
REACTOME_NEGATIVE_REGULATION_OF_NOTCH4_SIGNALING	REACTOME_NEGATIVE_REGULATION_OF_NOTCH4_SIGNALING	35	0.6830887490606904	3.7008854497648658	1e-10	1.9483870967741938e-9	7.707979626485568e-10	1474	tags=86%, list=25%, signal=64%	RPS27A/UBC/UBB/YWHAZ/UBA52/SKP1/PSMB4/AKT1/PSMD4/PSMA7/PSMC5/PSMA6/PSMB1/PSME1/PSMC3/PSMB7/PSMC1/PSMA1/PSMA4/PSMA2/PSMD13/PSMB3/PSMC2/PSMD7/CUL1/PSMB6/PSME2/PSMC6/PSMD14/PSMD6	cluster_2_vs_rest
REACTOME_DECTIN_1_MEDIATED_NONCANONICAL_NF_KB_SIGNALING	REACTOME_DECTIN_1_MEDIATED_NONCANONICAL_NF_KB_SIGNALING	33	0.6756718264388395	3.682732536874049	1e-10	1.9483870967741938e-9	7.707979626485568e-10	1609	tags=91%, list=28%, signal=66%	RPS27A/UBC/UBB/UBA52/SKP1/PSMB4/PSMD4/PSMA7/PSMC5/PSMA6/PSMB1/PSME1/PSMC3/PSMB7/PSMC1/PSMA1/PSMA4/PSMA2/PSMD13/PSMB3/PSMC2/PSMD7/CUL1/PSMB6/PSME2/PSMC6/PSMD14/PSMD6/SEM1/PSMA5	cluster_2_vs_rest
